CO_ID,YYYY/MM,Total cash and cash equivalents,Total due from the central bank and call loans to banks,Total financial assets at fair value through profit or loss,"Derivative financial assets, net","Securities purchased under resell agreements, net","Receivables, net",Total current tax assets,"Assets classified as held for sale, net","Discounts and loans, net","Financial assets at fair value through other comprehensive income, net","Financial assets measured at amortized cost, net","Investments measured by equity method, net","Restricted assets, net","Other financial assets, net","Total property, plant and equipment",Right of use assets,"Investment property, net","Intangible assets, net",Total deferred tax assets,"Other assets, net",Total assets,Total deposits from the central bank and banks,Total due to the central bank and banks,Total financial liabilities at fair value through profit or loss,"Derivative financial liabilities, net",Financial liabilities measured at amortized cost,Total notes and bonds issued under repurchase agreement,Commercial Paper Payable,Total payables,Total current tax liabilities,Total liabilities related to assets classified as held for sale,Total deposits and remittances,Bonds & Convertible,Total preferred stock liabilities,Total other financial liabilities,Total provisions,Lease liabilities,Accrued Pension Payable,Total deferred income tax liabilities,Total other liabilities,Total liabilities,Common stock,Preferred stock,Advance receipts for capital stock,Reserve for capitalization,Employee Stock Option,Total capital,Total capital surplus,Legal reserve,Special reserve,Total unappropriated earnings,Total retained earnings,Exchange differences on translation of foreign financial statements,Total unrealized gains (losses) on fin. assets at fair value through OCI,Credit risk on fair value measurement of financial liabilities,Remeasurement of defined benefit plans,Total gains (losses) on hedging instrument,"Total revaluation of property, plant, and equipment",Total equity related to assets classified as held for sale,Unearned compensation,"Other equity, others",Total other equity interest,Total Treasury shares,Total equity attributable to owners of parent,Non-controlling interests,Interests in the former associate or jointly controlled entity,Non-controlling interest in pre-acquisition share capital,Total equity,Total Liabilities & Equity
2809 KTB,2023/12,4171981.00 ,25614640.00 ,43326946.00 ,0.00 ,0.00 ,12979400.00 ,0.00 ,0.00 ,230086122.00 ,39930790.00 ,19397863.00 ,0.00 ,0.00 ,369.00 ,4973435.00 ,310546.00 ,991524.00 ,0.00 ,438546.00 ,2125897.00 ,384348059.00 ,13308286.00 ,5399000.00 ,35936.00 ,0.00 ,0.00 ,7098943.00 ,0.00 ,3487260.00 ,551676.00 ,0.00 ,297684898.00 ,0.00 ,0.00 ,5535065.00 ,268912.00 ,317098.00 ,0.00 ,54940.00 ,491479.00 ,334233493.00 ,11112343.00 ,0.00 ,0.00 ,0.00 ,0.00 ,11112343.00 ,55192.00 ,14831519.00 ,1540617.00 ,21304844.00 ,37676980.00 ,2011.00 ,1268040.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1270051.00 ,0.00 ,50114566.00 ,0.00 ,0.00 ,0.00 ,50114566.00 ,384348059.00 
2812 T.C.C.B.,2023/12,26978259.00 ,43950642.00 ,31233562.00 ,0.00 ,10696795.00 ,22156479.00 ,2.00 ,0.00 ,541844103.00 ,64687776.00 ,111914866.00 ,172446.00 ,127681.00 ,190878.00 ,17923896.00 ,1063394.00 ,1193306.00 ,250853.00 ,806669.00 ,2756182.00 ,877947789.00 ,11615468.00 ,12482762.00 ,2971490.00 ,0.00 ,0.00 ,5756555.00 ,0.00 ,10969541.00 ,831989.00 ,0.00 ,728915771.00 ,16500000.00 ,0.00 ,7658434.00 ,1318560.00 ,1093882.00 ,0.00 ,109486.00 ,1208867.00 ,801432805.00 ,52260953.00 ,0.00 ,0.00 ,0.00 ,0.00 ,52260953.00 ,1528256.00 ,13760327.00 ,308196.00 ,6960395.00 ,21028918.00 ,(91150.00),1788007.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1696857.00 ,0.00 ,76514984.00 ,0.00 ,0.00 ,0.00 ,76514984.00 ,877947789.00 
