CO_ID,YYYY/MM,Total cash and cash equivalents,Total due from the central bank and call loans to banks,Total financial assets at fair value through profit or loss,"Derivative financial assets, net","Securities purchased under resell agreements, net","Receivables, net",Total current tax assets,"Assets classified as held for sale, net","Discounts and loans, net","Financial assets at fair value through other comprehensive income, net","Financial assets measured at amortized cost, net","Investments measured by equity method, net","Restricted assets, net","Other financial assets, net","Total property, plant and equipment",Right of use assets,"Investment property, net","Intangible assets, net",Total deferred tax assets,"Other assets, net",Total assets,Total deposits from the central bank and banks,Total due to the central bank and banks,Total financial liabilities at fair value through profit or loss,"Derivative financial liabilities, net",Financial liabilities measured at amortized cost,Total notes and bonds issued under repurchase agreement,Commercial Paper Payable,Total payables,Total current tax liabilities,Total liabilities related to assets classified as held for sale,Total deposits and remittances,Bonds & Convertible,Total preferred stock liabilities,Total other financial liabilities,Total provisions,Lease liabilities,Accrued Pension Payable,Total deferred income tax liabilities,Total other liabilities,Total liabilities,Common stock,Preferred stock,Advance receipts for capital stock,Reserve for capitalization,Employee Stock Option,Total capital,Total capital surplus,Legal reserve,Special reserve,Total unappropriated earnings,Total retained earnings,Exchange differences on translation of foreign financial statements,Total unrealized gains (losses) on fin. assets at fair value through OCI,Credit risk on fair value measurement of financial liabilities,Remeasurement of defined benefit plans,Total gains (losses) on hedging instrument,"Total revaluation of property, plant, and equipment",Total equity related to assets classified as held for sale,Unearned compensation,"Other equity, others",Total other equity interest,Total Treasury shares,Total equity attributable to owners of parent,Non-controlling interests,Interests in the former associate or jointly controlled entity,Non-controlling interest in pre-acquisition share capital,Total equity,Total Liabilities & Equity
000080 HSBC,2023/12,146309.00 ,1856212.00 ,0.00 ,0.00 ,0.00 ,361986.00 ,29015.00 ,0.00 ,45084379.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,389.00 ,3704.00 ,0.00 ,0.00 ,16642.00 ,86689.00 ,47585325.00 ,28263250.00 ,14181282.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,328548.00 ,0.00 ,0.00 ,2700000.00 ,0.00 ,0.00 ,0.00 ,156628.00 ,3849.00 ,0.00 ,4729.00 ,18934.00 ,45657220.00 ,1750000.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1750000.00 ,563.00 ,-,-,-,177583.00 ,-,-,-,-,-,-,-,-,-,(41.00),0.00 ,1928105.00 ,0.00 ,0.00 ,0.00 ,1928105.00 ,47585325.00 
000081 ABOT,2023/12,3760128.00 ,160129169.00 ,923355.00 ,0.00 ,0.00 ,6702754.00 ,415125.00 ,0.00 ,406223458.00 ,85406720.00 ,408067409.00 ,0.00 ,0.00 ,393639.00 ,544551.00 ,468484.00 ,0.00 ,228631.00 ,51652.00 ,576703.00 ,1073891778.00 ,108738620.00 ,0.00 ,1537877.00 ,0.00 ,0.00 ,56766506.00 ,0.00 ,4386241.00 ,3975.00 ,0.00 ,816249005.00 ,50820000.00 ,0.00 ,0.00 ,341001.00 ,489805.00 ,0.00 ,53701.00 ,610281.00 ,1039997012.00 ,26965035.00 ,0.00 ,0.00 ,0.00 ,0.00 ,26965035.00 ,0.00 ,5524166.00 ,1188755.00 ,205943.00 ,6918864.00 ,0.00 ,10867.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,10867.00 ,0.00 ,33894766.00 ,0.00 ,0.00 ,0.00 ,33894766.00 ,1073891778.00 
